iter	Passed	Remaining
319	820	1743
320	822	1738
321	823	1734
322	825	1729
323	827	1725
324	828	1720
325	830	1716
326	831	1712
327	833	1708
328	835	1703
329	836	1698
330	838	1694
331	840	1690
332	842	1686
333	843	1682
334	845	1678
335	846	1673
336	848	1669
337	850	1665
338	851	1660
339	853	1656
340	854	1652
341	856	1647
342	858	1644
343	860	1640
344	861	1636
345	863	1631
346	864	1627
347	866	1623
348	867	1618
349	869	1614
350	870	1610
351	872	1606
352	874	1602
353	876	1598
354	877	1594
355	879	1590
356	880	1586
357	882	1582
358	883	1578
359	885	1574
360	887	1570
361	888	1566
362	890	1562
363	892	1558
364	893	1554
365	895	1550
366	896	1546
367	898	1542
368	899	1538
369	901	1534
370	903	1531
371	906	1530
372	908	1527
373	910	1523
374	911	1519
375	913	1516
376	915	1512
377	916	1508
378	918	1505
379	920	1501
380	921	1497
381	923	1493
382	924	1489
383	926	1485
384	927	1482
385	929	1478
386	930	1474
387	932	1471
388	935	1468
389	936	1465
390	940	1465
391	942	1462
392	944	1458
393	946	1455
394	948	1452
395	952	1453
396	954	1449
397	955	1445
398	957	1442
399	959	1438
400	960	1435
401	963	1433
402	970	1437
403	972	1434
404	974	1430
405	976	1429
406	978	1425
407	985	1429
408	986	1425
409	989	1423
410	992	1421
411	993	1418
412	999	1421
413	1001	1417
414	1003	1414
415	1004	1410
416	1006	1407
417	1008	1403
418	1016	1409
419	1019	1408
420	1022	1406
421	1024	1402
422	1025	1399
423	1030	1400
424	1033	1398
425	1035	1394
426	1036	1391
427	1038	1387
428	1039	1384
429	1041	1380
430	1047	1382
431	1048	1378
432	1050	1375
433	1053	1374
434	1055	1371
435	1060	1371
436	1062	1368
437	1063	1364
438	1065	1361
439	1066	1357
440	1068	1354
441	1070	1351
442	1074	1350
443	1076	1348
444	1078	1345
445	1080	1341
446	1082	1338
447	1083	1335
448	1085	1332
449	1089	1331
450	1091	1329
451	1093	1325
452	1095	1322
453	1097	1319
454	1099	1316
455	1100	1313
456	1108	1317
457	1110	1314
458	1112	1310
459	1124	1320
460	1126	1317
461	1128	1313
462	1129	1310
463	1131	1307
464	1133	1303
465	1139	1305
466	1146	1308
467	1148	1305
468	1155	1307
469	1157	1304
470	1158	1301
471	1161	1298
472	1162	1295
473	1165	1293
474	1170	1293
475	1171	1290
476	1174	1287
477	1175	1284
478	1177	1280
479	1178	1277
480	1180	1273
481	1185	1273
482	1187	1270
483	1188	1267
484	1190	1264
485	1192	1260
486	1193	1257
487	1194	1253
488	1196	1250
489	1201	1250
490	1203	1247
491	1204	1243
492	1206	1240
493	1207	1237
494	1209	1233
495	1210	1230
496	1215	1229
497	1217	1226
498	1218	1223
499	1220	1220
500	1222	1217
501	1223	1213
502	1225	1210
503	1226	1207
504	1231	1206
505	1232	1203
506	1234	1200
507	1236	1197
508	1237	1193
509	1239	1190
510	1240	1187
511	1242	1183
512	1246	1183
513	1248	1180
514	1250	1177
515	1251	1174
516	1253	1170
517	1254	1167
518	1256	1164
519	1257	1161
520	1263	1161
521	1264	1158
522	1266	1155
523	1268	1151
524	1269	1148
525	1271	1145
526	1272	1142
527	1277	1141
528	1283	1142
529	1285	1139
530	1286	1136
531	1288	1133
532	1292	1132
533	1294	1129
534	1296	1126
535	1297	1123
536	1299	1120
537	1300	1117
538	1302	1113
539	1303	1110
540	1308	1109
541	1310	1107
542	1311	1104
543	1313	1100
544	1314	1097
545	1316	1094
546	1318	1091
547	1319	1088
548	1323	1087
549	1325	1084
550	1327	1081
551	1329	1078
552	1330	1075
553	1332	1072
554	1333	1069
555	1335	1066
556	1339	1065
557	1341	1062
558	1343	1059
559	1344	1056
560	1346	1053
561	1347	1050
562	1349	1047
563	1350	1044
564	1355	1043
565	1357	1040
566	1358	1037
567	1360	1034
568	1361	1031
569	1363	1028
570	1364	1025
571	1366	1022
572	1371	1021
573	1372	1018
574	1374	1015
575	1375	1012
576	1377	1009
577	1379	1006
578	1380	1003
579	1382	1001
580	1386	1000
581	1388	997
582	1390	994
583	1391	991
584	1393	988
585	1395	985
586	1397	982
587	1401	981
588	1403	979
589	1404	976
590	1406	973
591	1407	970
592	1409	967
593	1410	964
594	1412	961
595	1417	960
596	1418	957
597	1420	954
598	1422	951
599	1423	949
600	1425	946
601	1426	943
602	1428	940
603	1432	939
604	1434	936
605	1436	933
606	1437	930
607	1439	928
608	1441	925
609	1442	922
610	1444	919
611	1448	918
612	1450	915
613	1451	912
614	1453	909
615	1454	906
616	1456	904
617	1458	901
618	1462	899
619	1464	897
620	1465	894
621	1467	891
622	1468	888
623	1470	886
624	1472	883
625	1473	880
626	1474	877
627	1478	876
628	1480	873
629	1482	870
630	1483	867
631	1485	864
632	1486	861
633	1488	859
634	1489	856
635	1494	855
636	1496	852
637	1497	849
638	1499	847
639	1500	844
640	1502	841
641	1504	838
642	1505	835
643	1509	834
644	1511	831
645	1513	829
646	1514	826
647	1516	823
648	1517	820
649	1519	818
650	1520	815
651	1525	814
652	1529	812
653	1531	810
654	1532	807
655	1534	804
656	1535	801
657	1539	800
658	1541	797
659	1543	795
660	1545	792
661	1546	789
662	1548	787
663	1549	784
664	1551	781
665	1555	780
666	1557	777
667	1559	774
668	1560	772
669	1562	769
670	1563	766
671	1565	764
672	1566	761
673	1573	760
674	1574	758
675	1576	755
676	1577	752
677	1579	750
678	1581	747
679	1582	744
680	1586	743
681	1588	740
682	1590	738
683	1591	735
684	1593	732
685	1595	730
686	1596	727
687	1598	724
688	1602	723
689	1604	720
690	1605	718
691	1607	715
692	1608	712
693	1610	710
694	1611	707
695	1613	704
696	1617	703
697	1619	700
698	1621	698
699	1622	695
700	1624	692
701	1625	690
702	1627	687
703	1628	684
704	1634	683
705	1635	680
706	1636	678
707	1638	675
708	1639	673
709	1641	670
710	1643	667
711	1644	665
712	1646	662
713	1648	660
714	1650	657
715	1651	655
716	1653	652
717	1654	649
718	1656	647
719	1660	645
720	1663	643
721	1665	641
722	1667	638
723	1669	636
724	1670	633
725	1672	631
726	1675	629
727	1677	626
728	1679	624
729	1681	622
730	1683	619
731	1684	616
732	1686	614
733	1690	612
734	1692	610
735	1693	607
736	1695	604
737	1696	602
738	1698	599
739	1699	597
740	1701	594
741	1702	592
742	1705	589
743	1707	587
744	1708	584
745	1710	582
746	1711	579
747	1713	577
748	1714	574
749	1716	572
750	1717	569
751	1720	567
752	1721	564
753	1723	562
754	1725	559
755	1726	557
756	1728	554
757	1729	552
758	1731	549
759	1732	547
760	1735	544
761	1736	542
762	1738	539
763	1739	537
764	1741	534
765	1742	532
766	1744	529
767	1745	527
768	1747	524
769	1748	522
770	1750	520
771	1752	517
772	1753	515
773	1755	512
774	1757	510
775	1758	507
776	1760	505
777	1761	502
778	1763	500
779	1764	497
780	1766	495
781	1768	492
782	1769	490
783	1771	487
784	1772	485
785	1774	483
786	1775	480
787	1777	478
788	1779	475
789	1781	473
790	1783	471
791	1784	468
792	1786	466
793	1787	463
794	1789	461
795	1791	459
796	1792	456
797	1794	454
798	1795	451
799	1797	449
800	1798	446
801	1800	444
802	1801	442
803	1803	439
804	1804	437
805	1806	434
806	1807	432
807	1809	430
808	1811	427
809	1813	425
810	1814	422
811	1816	420
812	1817	418
813	1819	415
814	1821	413
815	1822	410
816	1824	408
817	1825	406
818	1827	403
819	1828	401
820	1830	399
821	1831	396
822	1833	394
823	1835	392
824	1837	389
825	1838	387
826	1840	384
827	1842	382
828	1843	380
829	1845	377
830	1846	375
831	1848	373
832	1849	370
833	1851	368
834	1852	366
835	1854	363
836	1855	361
837	1857	359
838	1859	356
839	1860	354
840	1862	352
841	1864	349
842	1865	347
843	1867	345
844	1868	342
845	1870	340
846	1871	338
847	1873	335
848	1875	333
849	1876	331
850	1878	328
851	1879	326
852	1881	324
853	1883	321
854	1884	319
855	1886	317
856	1888	315
857	1889	312
858	1891	310
859	1893	308
860	1895	305
861	1897	303
862	1898	301
863	1900	299
864	1901	296
865	1903	294
866	1905	292
867	1907	290
868	1911	288
869	1912	285
870	1914	283
871	1915	281
872	1917	278
873	1919	276
874	1921	274
875	1922	272
876	1924	269
877	1925	267
878	1927	265
879	1928	262
880	1930	260
881	1931	258
882	1933	256
883	1934	253
884	1936	251
885	1937	249
886	1939	247
887	1940	244
888	1942	242
889	1943	240
890	1945	237
891	1946	235
892	1947	233
893	1949	231
894	1951	228
895	1953	226
896	1954	224
897	1956	222
898	1957	219
899	1959	217
900	1960	215
901	1961	213
902	1963	210
903	1965	208
904	1967	206
905	1968	204
906	1969	201
907	1971	199
908	1972	197
909	1974	195
910	1975	193
911	1977	190
912	1978	188
913	1980	186
914	1982	184
915	1984	181
916	1985	179
917	1986	177
918	1988	175
919	1989	173
920	1991	170
921	1992	168
922	1994	166
923	1996	164
924	1998	162
925	1999	159
926	2001	157
927	2002	155
928	2004	153
929	2005	150
930	2007	148
931	2009	146
932	2011	144
933	2012	142
934	2013	140
935	2015	137
936	2016	135
937	2018	133
938	2019	131
939	2029	129
940	2030	127
941	2032	125
942	2033	122
943	2035	120
944	2037	118
945	2038	116
946	2040	114
947	2042	112
948	2048	110
949	2050	107
950	2051	105
951	2053	103
952	2054	101
953	2056	99
954	2058	96
955	2059	94
956	2061	92
957	2062	90
958	2064	88
959	2066	86
960	2067	83
961	2069	81
962	2070	79
963	2072	77
964	2073	75
965	2075	73
966	2076	70
967	2078	68
968	2080	66
969	2082	64
970	2083	62
971	2085	60
972	2086	57
973	2088	55
974	2089	53
975	2091	51
976	2093	49
977	2094	47
978	2096	44
979	2098	42
980	2099	40
981	2101	38
982	2103	36
983	2104	34
984	2106	32
985	2107	29
986	2109	27
987	2110	25
988	2112	23
989	2114	21
990	2115	19
991	2117	17
992	2119	14
993	2120	12
994	2122	10
995	2123	8
996	2125	6
997	2126	4
998	2128	2
999	2129	0
